product_name,category,price,mrp,rating,review_count,product_url,seller_name,seller_rating,discount_pct,price_to_mrp_ratio,rating_review_ratio,review_density,generic_word_count,uppercase_ratio,category_avg_price,price_deviation_from_category,extreme_discount_flag,suspicious_trust_flag,aggressive_listing_flag,risk_score,risk_level,seller_cluster_id
Airbuds 16 Hr Bluetooth True Wireless Earbuds In Ear Bluetooth Headphone Powerfull Bass TWS White,bluetooth_headphones,282,3499,5.0,1.0,https://www.snapdeal.com/product/airbuds-16-hr-bluetooth-true/647655786033#bcrumbSearch:bluetooth%20headphones,,,0.919405544441269,0.08059445555873107,7.213475204444817,0.0035460992907801418,4,0.16494845360824742,389.3125,-107.3125,1,0,1,2,Medium,2
"VEHOP S300 OWS Open Ear Wireless Earbuds with Display, ENC Mic for Crystal-Clear Calls, 60hr Playtime with Type-C Fast Charging, BT5.4 Gaming Bluetooth Earphones, Touch Control Sports Headphone.",bluetooth_headphones,640,2999,3.7,24.0,https://www.snapdeal.com/product/vehop-s300-ows-open-ear/634939266238#bcrumbSearch:bluetooth%20headphones,DIME ENTERPRISES,3.9,0.786595531843948,0.21340446815605202,1.149469628935282,0.0375,3,0.18041237113402062,389.3125,250.6875,1,1,1,3,Medium,0
"""Black Wireless Bluetooth Earbuds with Soft Silicone Cover, Deep Bass, Touch Controls, Long Battery Life, and Charging Case – Comfortable, Sweatproof In-Ear Headphones for All-Day Use""",bluetooth_headphones,339,999,4.4,7.0,https://www.snapdeal.com/product/black-wireless-bluetooth-earbuds-with/645939713305#bcrumbSearch:bluetooth%20headphones,,,0.6606606606606606,0.33933933933933935,2.1159527266371465,0.02064896755162242,3,0.13043478260869565,389.3125,-50.3125,1,0,1,2,Medium,0
Hitech 25000 -mAh 22.5W Li-Polymer Power Bank,power_bank,995,1999,4.5,33.0,https://www.snapdeal.com/product/hitech-25000-mah-225w-lipolymer/624518559125#bcrumbSearch:power%20bank,HITECH ACCESSORIES PRIVATE LIMITED,4.0,0.5022511255627814,0.4977488744372186,1.2761032142310003,0.033165829145728645,0,0.15555555555555556,884.0625,110.9375,0,0,0,0,Low,4
"Portronics Power Brick II:10000mAh Power Bank ,D.Blue (POR 1213)",power_bank,699,1999,4.1,168.0,https://www.snapdeal.com/product/portronics-power-brick-ii-10000/665339529201#bcrumbSearch:power%20bank,,,0.6503251625812907,0.34967483741870936,0.7992360527651241,0.24034334763948498,0,0.203125,884.0625,-185.0625,1,1,0,2,Medium,4
Hitech 12000 -mAh 5V/2A & 5V/3A Li-Ion Power Bank,power_bank,657,1299,5.0,2.0,https://www.snapdeal.com/product/hitech-12000-mah-5v2a-5v3a/624539854180#bcrumbSearch:power%20bank,HITECH ACCESSORIES PRIVATE LIMITED,4.0,0.4942263279445728,0.5057736720554272,4.551196133134186,0.0030441400304414,0,0.20408163265306123,884.0625,-227.0625,0,0,0,0,Low,4
"Portronics Power M 10K:10000mAh Power Bank with Dual Input ,Black (POR 1219)",power_bank,709,1999,4.1,134.0,https://www.snapdeal.com/product/portronics-por1219-10000-mah-lipolymer/618557195054#bcrumbSearch:power%20bank,,,0.6453226613306653,0.35467733866933465,0.8358349297825095,0.18899858956276447,0,0.17105263157894737,884.0625,-175.0625,1,1,0,2,Medium,4
Hitech 25000 -mAh 5V/2A & 5V/3A Li-Ion Power Bank,power_bank,1164,2499,5.0,2.0,https://www.snapdeal.com/product/hitech-25000-mah-5v2a-5v3a/6917529664647578623#bcrumbSearch:power%20bank,HITECH ACCESSORIES PRIVATE LIMITED,4.0,0.5342136854741897,0.4657863145258103,4.551196133134186,0.001718213058419244,0,0.20408163265306123,884.0625,279.9375,0,0,0,0,Low,4
Portronics 10000 -mAh 5V/2A Li-Polymer Power Bank,power_bank,849,2499,3.5,12.0,https://www.snapdeal.com/product/portronics-10000-mah-5v2a-lipolymer/655943016957#bcrumbSearch:power%20bank,,,0.6602641056422569,0.3397358943577431,1.36454935837948,0.014134275618374558,0,0.16326530612244897,884.0625,-35.0625,1,0,0,1,Low,4
Hitech 12000 -mAh 22.5W Li-Polymer Power Bank,power_bank,826,1499,4.8,6.0,https://www.snapdeal.com/product/hitech-12000-mah-225w-lipolymer/654430696967#bcrumbSearch:power%20bank,HITECH ACCESSORIES PRIVATE LIMITED,4.0,0.44896597731821214,0.5510340226817878,2.4667120433748035,0.007263922518159807,0,0.15555555555555556,884.0625,-58.0625,0,0,0,0,Low,4
